subject,sequence,frame,frame_id,camera,role,method,absolute_median_mm,absolute_mean_mm,absolute_p90_mm,absolute_p95_mm,absolute_coverage_50mm,aligned_median_mm,aligned_mean_mm,aligned_p90_mm,aligned_p95_mm,aligned_coverage_50mm,aligned_translation_mm
Sub04,Date03_Sub04_yogaball_play,t0022.000,Sub04/Date03_Sub04_yogaball_play/t0022.000,K2,HELD_OUT,O1,17.106275856790404,36.622174307354875,39.15037403645061,52.842218092437825,0.943,9.221480102546511,33.14217597647144,43.00965380739192,59.48075716400217,0.9204,16.898595696120967
Sub04,Date03_Sub04_yogaball_play,t0022.000,Sub04/Date03_Sub04_yogaball_play/t0022.000,K2,HELD_OUT,O2,12.307874599909876,34.011431878170306,38.69153866424212,60.97589863748118,0.9288,9.250491570490123,32.565677971748535,41.32842021983075,61.24347448148431,0.924,10.237483639037016
Sub04,Date03_Sub04_yogaball_play,t0022.000,Sub04/Date03_Sub04_yogaball_play/t0022.000,K2,HELD_OUT,O3,12.96992286965077,34.170499811470954,38.14512881691895,54.29228882450937,0.9396,9.314261650329984,33.02209364362337,42.03716851511361,57.82753749482871,0.9258,8.71917767670582
Sub04,Date03_Sub04_yogaball_play,t0022.000,Sub04/Date03_Sub04_yogaball_play/t0022.000,K2,HELD_OUT,O4,11.85276708213096,33.55162530238813,38.2455011059949,59.7459994200087,0.9306,9.1374443506275,32.31934847078292,41.0318746144078,60.265591266659285,0.9256,9.523868670775013
Sub04,Date03_Sub04_yogaball_play,t0022.000,Sub04/Date03_Sub04_yogaball_play/t0022.000,K3,HELD_OUT,O0,30.892382900413082,52.8650536213009,87.42636882708803,105.26862779834268,0.6648,22.112470393802134,41.52325671799962,59.83050474796591,72.93819610473129,0.843,44.79363937652363
Sub04,Date03_Sub04_yogaball_play,t0022.000,Sub04/Date03_Sub04_yogaball_play/t0022.000,K3,HELD_OUT,O1,10.874715604458377,29.080573107734068,28.92629437591087,42.63322984711092,0.9532,8.181820924014286,27.069006002641697,27.072225873394196,40.97681729121747,0.9528,10.2600500953465
Sub04,Date03_Sub04_yogaball_play,t0022.000,Sub04/Date03_Sub04_yogaball_play/t0022.000,K3,HELD_OUT,O2,7.852571767021558,27.230484299356498,25.338508695494564,53.686482951819414,0.949,7.448487376534752,26.831871428775013,24.545655133996313,53.66793307174399,0.9486,4.7680028690033955
Sub04,Date03_Sub04_yogaball_play,t0022.000,Sub04/Date03_Sub04_yogaball_play/t0022.000,K3,HELD_OUT,O3,8.083671983293275,26.951070249802964,26.80134589694222,41.47871703403885,0.953,8.0188215614918,26.92714270510866,26.903282940791048,40.92444270079113,0.953,1.322569003673565
Sub04,Date03_Sub04_yogaball_play,t0022.000,Sub04/Date03_Sub04_yogaball_play/t0022.000,K3,HELD_OUT,O4,7.691645019350515,27.03046042131218,25.17423041479936,52.783496503453385,0.9494,7.4122905453458845,26.666065018786753,24.435984597921895,53.72836536716665,0.949,4.379976055688866
Sub04,Date03_Sub04_yogaball_play,t0034.000,Sub04/Date03_Sub04_yogaball_play/t0034.000,K0,K0_DIAGNOSTIC,O0,59.72769923931774,59.064881056651615,92.86111735827735,104.257399900756,0.3332,8.80197910113791,15.880227201326544,42.19764303892475,63.55895680063997,0.9178,70.15218211182854
Sub04,Date03_Sub04_yogaball_play,t0034.000,Sub04/Date03_Sub04_yogaball_play/t0034.000,K0,K0_DIAGNOSTIC,O1,8.67040693354993,16.20232019736658,44.27205727481791,66.72075963378873,0.911,8.603273668315804,15.887543909335497,42.15576218532895,64.42908023758167,0.9166,6.739917268338404
Sub04,Date03_Sub04_yogaball_play,t0034.000,Sub04/Date03_Sub04_yogaball_play/t0034.000,K0,K0_DIAGNOSTIC,O2,7.224064159856016,13.905698533767229,38.92124333441101,63.716677864989315,0.9202,7.371303124849283,13.867800876767655,38.575558051437774,62.508400226462385,0.9222,2.3214146223102303
Sub04,Date03_Sub04_yogaball_play,t0034.000,Sub04/Date03_Sub04_yogaball_play/t0034.000,K0,K0_DIAGNOSTIC,O3,8.104239562002274,15.760768415993866,43.17408762216919,68.02357036283775,0.9128,8.412047878850379,15.68230488218295,41.84365676105174,65.81681873430898,0.9152,3.6676664239826815
Sub04,Date03_Sub04_yogaball_play,t0034.000,Sub04/Date03_Sub04_yogaball_play/t0034.000,K0,K0_DIAGNOSTIC,O4,6.951666446532336,13.563711716141336,38.58946907180065,62.757299872716054,0.923,7.142383746828969,13.487876181496834,37.653254045641255,61.004844263734036,0.9248,2.827391790334371
Sub04,Date03_Sub04_yogaball_play,t0034.000,Sub04/Date03_Sub04_yogaball_play/t0034.000,K1,HELD_OUT,O0,30.900411825739333,32.95140380883685,61.159665067908804,68.92079942688385,0.7888,10.887850175434213,13.676509267611147,26.28981874061274,35.8834241981316,0.9802,56.448425437658216
Sub04,Date03_Sub04_yogaball_play,t0034.000,Sub04/Date03_Sub04_yogaball_play/t0034.000,K1,HELD_OUT,O1,11.562666747186533,13.746125283878037,27.064670473613226,32.21874773673472,0.9876,7.302034827593045,9.729338530734045,20.07624910719585,25.767044384913692,0.99,14.305310307161367
