subject,sequence,frame_id,method,absolute_median_mm,absolute_mean_mm,absolute_p90_mm,absolute_p95_mm,absolute_coverage_50mm,aligned_median_mm
Sub05,Date03_Sub05_backpack,Sub05/Date03_Sub05_backpack/t0101.000,O3,16.62746059610117,106.2557138258334,39.527507585887115,50.48028196988803,0.9482,10.949671688235227
Sub05,Date03_Sub05_backpack,Sub05/Date03_Sub05_backpack/t0101.000,O4,15.345662595829126,103.37495822485904,34.8188224794017,53.067433935243976,0.9466,12.696484947880844
Sub05,Date03_Sub05_stool,Sub05/Date03_Sub05_stool/t0019.000,O0,23.064470552013212,34.99187090439792,59.30461291722772,83.79686814930866,0.818,9.78925712825897
Sub05,Date03_Sub05_stool,Sub05/Date03_Sub05_stool/t0019.000,O1,13.220342408463797,26.957039557055115,43.17363711390476,65.0387624978944,0.919,9.321834018990259
Sub05,Date03_Sub05_stool,Sub05/Date03_Sub05_stool/t0019.000,O2,14.25903779583928,27.9934726723303,32.93352531006557,39.90781636640272,0.9718,10.834763523028332
Sub05,Date03_Sub05_stool,Sub05/Date03_Sub05_stool/t0019.000,O3,13.472201309752016,28.44075172537248,42.29308035001188,61.11139661688517,0.927,9.30151684925103
Sub05,Date03_Sub05_stool,Sub05/Date03_Sub05_stool/t0019.000,O4,13.703700470281817,27.619323194658744,32.662347849816676,39.40205872659314,0.9706,10.169565595081199
Sub05,Date03_Sub05_stool,Sub05/Date03_Sub05_stool/t0035.000,O0,42.16316220917952,65.18345383674954,103.10026912404369,124.11921044162958,0.5752,19.049679154999517
Sub05,Date03_Sub05_stool,Sub05/Date03_Sub05_stool/t0035.000,O1,16.623275346865196,32.12879941359102,45.45748248070551,53.57505917175768,0.9294,12.84856721994037
Sub05,Date03_Sub05_stool,Sub05/Date03_Sub05_stool/t0035.000,O2,16.076440911317114,31.018504396123816,44.57639895241071,51.45769890362926,0.9394,12.28599785776743
Sub05,Date03_Sub05_stool,Sub05/Date03_Sub05_stool/t0035.000,O3,15.12933127368538,32.05954168834374,41.043059980645204,47.891591748437335,0.9572,11.56357622594396
Sub05,Date03_Sub05_stool,Sub05/Date03_Sub05_stool/t0035.000,O4,16.693846364111046,30.90476591770813,42.11009451136912,49.20466180412211,0.9524,11.3341171376833
Sub05,Date03_Sub05_stool,Sub05/Date03_Sub05_stool/t0050.000,O0,48.20671509913417,68.77630367451742,125.85003433204064,141.37482946002575,0.523,25.853077289012173
Sub05,Date03_Sub05_stool,Sub05/Date03_Sub05_stool/t0050.000,O1,19.113153084223566,29.09328207430046,40.35774282695577,45.26148557804804,0.9634,9.158704121662335
Sub05,Date03_Sub05_stool,Sub05/Date03_Sub05_stool/t0050.000,O2,11.028325197932688,23.875330494573635,30.289531110893737,42.08492433958767,0.9708,9.361460381432135
Sub05,Date03_Sub05_stool,Sub05/Date03_Sub05_stool/t0050.000,O3,11.764026781593552,24.145366676702118,32.15355800349194,41.48319173683818,0.9664,8.565554423521785
Sub05,Date03_Sub05_stool,Sub05/Date03_Sub05_stool/t0050.000,O4,10.746355879658317,23.91547180828609,30.807313737907894,41.09456440783701,0.9764,9.016641955049899
Sub05,Date03_Sub05_yogaball,Sub05/Date03_Sub05_yogaball/t0019.000,O0,30.730019497662767,43.34130725617676,79.80666320737797,94.48934815105869,0.7202,19.967806031788037
Sub05,Date03_Sub05_yogaball,Sub05/Date03_Sub05_yogaball/t0019.000,O1,11.189635299965357,24.185454070156542,42.204248708675024,50.61298679947339,0.947,11.190717297555185
Sub05,Date03_Sub05_yogaball,Sub05/Date03_Sub05_yogaball/t0019.000,O2,14.182350640659365,23.055203775628122,35.638079180781986,39.24401456795721,0.997,11.91123635652259
Sub05,Date03_Sub05_yogaball,Sub05/Date03_Sub05_yogaball/t0019.000,O3,13.940627507299912,23.323924622400916,36.35355888729644,40.620348727280394,0.992,10.582578056906994
Sub05,Date03_Sub05_yogaball,Sub05/Date03_Sub05_yogaball/t0019.000,O4,13.778536667258997,22.84334611257854,35.7572518612134,39.74086167131622,0.997,11.619493247132091
Sub05,Date03_Sub05_yogaball,Sub05/Date03_Sub05_yogaball/t0035.000,O0,38.433703942590384,60.684600196132635,89.40042693947603,105.98421304537833,0.6218,24.770288363002223
Sub05,Date03_Sub05_yogaball,Sub05/Date03_Sub05_yogaball/t0035.000,O1,15.800855319222952,38.670029729291635,37.35840952624939,41.825149010592355,0.9702,9.600189395839234
Sub05,Date03_Sub05_yogaball,Sub05/Date03_Sub05_yogaball/t0035.000,O2,10.286529214893912,36.789787988818716,30.317971254748592,41.455069612111906,0.973,7.957513066091497
Sub05,Date03_Sub05_yogaball,Sub05/Date03_Sub05_yogaball/t0035.000,O3,11.997357803377728,38.01199991575621,32.13160340675737,36.913980685913174,0.9702,9.81082662922878
Sub05,Date03_Sub05_yogaball,Sub05/Date03_Sub05_yogaball/t0035.000,O4,10.155398714357542,36.171859143094494,29.808880761870142,40.18056829732085,0.9748,8.026971309343448
Sub05,Date03_Sub05_yogaball,Sub05/Date03_Sub05_yogaball/t0051.000,O0,61.1785991769949,76.36469747199877,124.53752505283462,139.5426559957416,0.393,23.266380018463714
Sub05,Date03_Sub05_yogaball,Sub05/Date03_Sub05_yogaball/t0051.000,O1,16.84851720445841,36.2803417379374,41.14935387270835,50.75437830980526,0.9488,11.825700861609356
Sub05,Date03_Sub05_yogaball,Sub05/Date03_Sub05_yogaball/t0051.000,O2,12.622287576374568,36.82320768073734,35.44336046492057,60.2011426139567,0.9416,8.409797753109698
Sub05,Date03_Sub05_yogaball,Sub05/Date03_Sub05_yogaball/t0051.000,O3,15.482203511379772,36.40134886863954,42.915562739745084,54.43667698714055,0.9304,11.42733483332244
Sub05,Date03_Sub05_yogaball,Sub05/Date03_Sub05_yogaball/t0051.000,O4,12.333469054115898,36.61086186102469,34.60999788887093,58.56015114061908,0.9424,8.426353735654416
Sub06,Date05_Sub06_backpack_back,Sub06/Date05_Sub06_backpack_back/t0015.000,O0,23.8413849676247,48.76839594383094,62.62170782504029,82.53384781471617,0.8362,17.363421862298047
Sub06,Date05_Sub06_backpack_back,Sub06/Date05_Sub06_backpack_back/t0015.000,O1,17.57721938256047,45.54495368306024,52.88075599127408,68.48000938027262,0.8872,17.116849236177522
Sub06,Date05_Sub06_backpack_back,Sub06/Date05_Sub06_backpack_back/t0015.000,O2,13.295449280542938,42.95730229612387,54.77862650546132,72.07699157436203,0.8834,13.690202510701582
Sub06,Date05_Sub06_backpack_back,Sub06/Date05_Sub06_backpack_back/t0015.000,O3,17.65574084904307,44.89529327825132,47.88446121602023,63.09008790419089,0.9082,17.31111878125378
Sub06,Date05_Sub06_backpack_back,Sub06/Date05_Sub06_backpack_back/t0015.000,O4,13.303928717233246,42.93318208591104,54.621757742905736,72.07868143627418,0.8826,13.543179607203236
Sub06,Date05_Sub06_backpack_back,Sub06/Date05_Sub06_backpack_back/t0026.000,O0,12.49420227605721,34.53613799374603,31.18090049720849,38.29555389500243,0.9818,10.232650923926453
Sub06,Date05_Sub06_backpack_back,Sub06/Date05_Sub06_backpack_back/t0026.000,O1,12.689847284159697,35.069329368359796,32.03638732689722,39.11753259817929,0.9808,10.220402512725087
Sub06,Date05_Sub06_backpack_back,Sub06/Date05_Sub06_backpack_back/t0026.000,O2,13.892360205126165,39.497391932144595,38.038969919884934,46.796991329497644,0.9632,10.201669045793686
